Timestamp,Source,Speed (kn),,Longitude (°),Latitude (°),lon2,lat2,Course (°)
2017-10-18 17:47 (UTC),Terr-AIS,15.7,,-4.10645819,50.1077919,,,345
2017-10-18 17:49 (UTC),Terr-AIS,15.6,,-4.11025286,50.117569,,,346
2017-10-18 17:52 (UTC),Terr-AIS,15.6,,-4.11546516,50.1307716,,,346
2017-10-18 17:55 (UTC),Terr-AIS,15.6,,-4.11963177,50.1414185,,,346
2017-10-18 17:57 (UTC),Terr-AIS,16,,-4.12397718,50.1504097,,,343
2017-10-18 17:59 (UTC),Terr-AIS,16.3,,-4.12907505,50.1603584,,,342
2017-10-18 18:02 (UTC),Terr-AIS,16.3,,-4.1363349,50.1742516,,,342
2017-10-18 18:05 (UTC),Terr-AIS,16.1,,-4.14143801,50.1837692,,,341
2017-10-18 18:07 (UTC),Terr-AIS,16.1,,-4.14645004,50.1931114,,,341
2017-10-18 18:09 (UTC),Terr-AIS,16.1,,-4.15194702,50.2029114,,,339
2017-10-18 18:12 (UTC),Terr-AIS,16,,-4.1600132,50.2161293,,,343
2017-10-18 18:16 (UTC),Terr-AIS,16.1,,-4.16377783,50.230999,-3.002222,49.984167,355
2017-10-18 18:18 (UTC),Terr-AIS,16.3,,-4.16530514,50.240551,,,355
2017-10-18 18:20 (UTC),Terr-AIS,16.3,,-4.16675901,50.2500992,,,355
2017-10-18 18:22 (UTC),Terr-AIS,16.3,,-4.16834402,50.2605591,,,354
2017-10-18 18:25 (UTC),Terr-AIS,14.6,,-4.17046499,50.2743492,,,355
2017-10-18 18:28 (UTC),Terr-AIS,11.4,,-4.17194223,50.2823486,,,354
2017-10-18 18:30 (UTC),Terr-AIS,12.2,,-4.17280817,50.2896805,,,357
2017-10-18 18:32 (UTC),Terr-AIS,12.2,,-4.17347097,50.2972794,,,358
2017-10-18 18:35 (UTC),Terr-AIS,13.2,,-4.174505,50.30792,,,357
2017-10-18 18:38 (UTC),Terr-AIS,13.4,,-4.174528,50.31913,,,3
2017-10-18 18:41 (UTC),Terr-AIS,13.2,,-4.17063,50.33133,,,34
2017-10-18 18:44 (UTC),Terr-AIS,12.3,,-4.160977,50.33735,,,54
2017-10-18 18:46 (UTC),Terr-AIS,9.8,,-4.152335,50.34109,-3.101389,50.101944,57
2017-10-18 18:49 (UTC),Terr-AIS,9.8,,-4.142982,50.34703,,,24
2017-10-18 18:52 (UTC),Terr-AIS,9.8,,-4.144094,50.35493,,,340
2017-10-18 18:56 (UTC),Terr-AIS,6.6,,-4.147465,50.35896,,,309
2017-10-18 18:58 (UTC),Terr-AIS,6.3,,-4.151708,50.36092,,,309
2017-10-18 19:00 (UTC),Terr-AIS,3.9,,-4.154839,50.363,,,323
2017-10-18 19:03 (UTC),Terr-AIS,0.3,,-4.156414,50.36412,,,324
2017-10-18 19:23 (UTC),Terr-AIS,0,,-4.156442,50.36414,-4.167778,50.300278,325
