 Timestamp,Source,Speed (kn),,Longitude (°),Latitude (°),lon2,lat2,Course (°)
2018-02-08 18:13 (UTC),Terr-AIS,129,,-26.60669,63.69913,,,256
2018-02-08 18:15 (UTC),Terr-AIS,117,,-27.3074,63.60386,,,251
2018-02-08 18:18 (UTC),Terr-AIS,129,,-28.03599,63.52396,,,256
2018-02-08 18:21 (UTC),Terr-AIS,122,,-30.18868,63.22922,,,253
2018-02-08 18:24 (UTC),Terr-AIS,117,,-30.88934,63.16816,,,254
2018-02-08 18:26 (UTC),Terr-AIS,121,,-31.58503,63.07836,,,256
2018-02-08 18:29 (UTC),Terr-AIS,139,,-33.02453,62.87487,,,238
2018-02-08 18:31 (UTC),Terr-AIS,133,,-33.44269,62.75675,,,238
2018-02-08 18:34 (UTC),Terr-AIS,143,,-33.69163,62.68518,-33.868333,62.633333,236
2018-02-08 18:37 (UTC),Terr-AIS,141,,-34.39495,62.47889,,,239
2018-02-08 18:40 (UTC),Terr-AIS,145,,-35.10147,62.2775,,,236
2018-02-08 18:43 (UTC),Terr-AIS,143,,-35.64728,62.11179,,,233
2018-02-08 18:46 (UTC),Terr-AIS,139,,-35.82913,62.04967,,,236
2018-02-08 18:48 (UTC),Terr-AIS,138,,-35.92443,62.01799,,,235
2018-02-08 18:51 (UTC),Terr-AIS,143,,-36.02868,61.98404,,,232
2018-02-08 18:53 (UTC),Terr-AIS,139,,-36.3608,61.87413,,,236
2018-02-08 18:56 (UTC),Terr-AIS,145,,-36.54377,61.81466,,,235
2018-02-08 18:58 (UTC),Terr-AIS,140,,-36.65165,61.77918,,,236
2018-02-08 19:02 (UTC),Terr-AIS,140,,-38.58678,61.13832,,,234
2018-02-08 19:04 (UTC),Terr-AIS,122,,-39.05762,60.97699,,,216
2018-02-08 19:07 (UTC),Terr-AIS,132,,-39.13199,60.87742,,,199
2018-02-08 19:10 (UTC),Terr-AIS,134,,-39.21329,60.76361,,,203
2018-02-08 19:13 (UTC),Terr-AIS,137,,-39.31464,60.64662,,,202
2018-02-08 19:16 (UTC),Terr-AIS,136,,-39.39177,60.56097,,,205
2018-02-08 19:19 (UTC),Terr-AIS,136,,-39.41246,60.53777,,,204
2018-02-08 19:22 (UTC),Terr-AIS,137,,-39.47093,60.47224,,,201
2018-02-08 19:26 (UTC),Terr-AIS,132,,-39.51281,60.42368,,,200
2018-02-08 19:29 (UTC),Terr-AIS,135,,-39.61389,60.30906,,,202
2018-02-08 19:32 (UTC),Terr-AIS,130,,-39.65495,60.26097,,,201
2018-02-08 19:35 (UTC),Terr-AIS,131,,-39.76062,60.13297,,,194
2018-02-08 19:37 (UTC),Terr-AIS,130,,-39.76663,60.0675,-39.734722,59.851667,178
2018-02-08 19:39 (UTC),Terr-AIS,119,,-39.75607,59.96111,,,178
2018-02-08 19:41 (UTC),Terr-AIS,121,,-39.75567,59.95139,,,178
2018-02-08 19:43 (UTC),Terr-AIS,115,,-39.74147,59.85981,,,175
2018-02-08 19:46 (UTC),Terr-AIS,120,,-39.69104,59.78105,,,155
2018-02-08 19:48 (UTC),Terr-AIS,118,,-39.55843,59.62056,,,152
2018-02-08 19:51 (UTC),Terr-AIS,140,,-39.37146,59.49467,-39.068333,59.517778,77
2018-02-08 19:54 (UTC),Terr-AIS,131,,-38.87364,59.54192,,,72
2018-02-08 19:56 (UTC),Terr-AIS,137,,-38.61779,59.57985,,,66
2018-02-08 19:59 (UTC),Terr-AIS,141,,-38.37852,59.62051,,,81
2018-02-08 20:04 (UTC),Terr-AIS,136,,-38.10493,59.65767,,,79
2018-02-08 20:07 (UTC),Terr-AIS,138,,-37.87219,59.6917,,,68
